Na,Jmax
0.517470356,13.18181818
0.598577075,30
0.737391304,55.90909091
0.853754941,71.36363636
1.04743083,89.54545455
1.233833992,103.6363636
1.332964427,118.6363636
1.510355731,133.6363636
1.95715415,149.0909091
2.49312253,158.1818182
2.970118577,161.8181818
3.308142292,165
3.81027668,171.3636364
4.21770751,175
4.677470356,178.1818182
5.049486166,183.6363636
5.465770751,186.8181818
5.925059289,191.3636364
6.13312253,193.1818182
6.453438735,197.2727273
6.739130435,200.9090909
1.777233202,141.3636364
1.434782609,125.9090909
1.158893281,94.09090909
0.928695652,80.90909091
0.804110672,64.09090909
0.740711462,46.36363636
0.620869565,40.90909091
0.548300395,24.54545455
