at the end of growing season,sample tree number,dimater at 1.3m (m),basal area (m2),basal area increment (m2 yr-1),tree height (m),specific wood density for each year (kg m-3),stem volume over bark (m3),stem volume uner bark (m3),stem bark drymass (kg),coarse root biomass (kg),Foliage biomass (kg),Branch biomass (kg)
2006,10,0.1910955,0.02868077,0.000754704,17.79,411.1137968,0.261199726,0.222140921,8.679291209,22.73431717,5.314805393,12.05887974
2006,11,0.1234542,0.011970206,0.000258444,12.62,387.5475509,0.081018401,0.067546539,4.464217126,10.8177671,3.336946632,4.111533752
2006,12,0.1497223,0.017606088,0.000450514,13.335,359.9911973,0.121854025,0.102400644,6.287490844,15.01603187,4.920021423,7.357939062
2006,7,0.139387,0.015259293,0.000464738,13.93,383.3471338,0.112584057,0.09438624,5.360726281,13.29687333,3.773448102,5.523488615
2006,8,0.2090286,0.034316367,0.000624592,16.81,382.1742465,0.287822404,0.245508199,10.61091743,26.47899056,7.439894729,17.31452373
2006,9,0.0928926,0.006777228,0.00019958,11.73,374.667573,0.044793301,0.036913632,2.683305124,6.670517964,1.853806811,1.727605462
2007,10,0.1937165,0.029472916,0.000792147,18.11,412.5001039,0.273092171,0.232413681,8.829157588,23.26690972,5.320252392,12.37232523
2007,11,0.1248462,0.012241666,0.00027146,12.97,407.1942558,0.085252133,0.071124206,4.498556749,11.02592806,3.260502541,4.140720676
2007,12,0.1514463,0.018013878,0.00040779,13.655,372.9175967,0.127750695,0.107425854,6.350446932,15.31113265,4.84351265,7.445996176
2007,7,0.141719,0.015774153,0.000514859,14.22,377.1417008,0.118709562,0.099603473,5.476758485,13.6772438,3.786105015,5.705856121
2007,8,0.2109706,0.034956968,0.000640601,17,377.83554,0.296366415,0.25291141,10.73965277,26.89853045,7.457249591,17.63563781
2007,9,0.0945426,0.007020127,0.000242899,11.96,379.3651023,0.047253245,0.038973982,2.748382694,6.873178295,1.869045185,1.793045707
2008,10,0.1962035,0.030234541,0.000761625,18.43,405.0593117,0.284982678,0.242689947,8.968112417,23.77695898,5.317086604,12.66171532
2008,11,0.1259312,0.012455368,0.000213702,13.39,391.4810106,0.089751458,0.074923983,4.500633541,11.18931117,3.138122076,4.11407695
2008,12,0.1531893,0.018430909,0.000417031,13.865,367.3076962,0.132662004,0.111620082,6.441499633,15.6118854,4.845057224,7.605834377
2008,7,0.143649,0.016206719,0.000432566,14.52,377.2485601,0.124520248,0.104552743,5.561697217,13.99537757,3.76723635,5.832562349
2008,8,0.2124926,0.035463166,0.000506198,17.23,383.8425943,0.304793199,0.260205618,10.81499256,27.22923142,7.404536605,17.79642488
2008,9,0.0960306,0.007242845,0.000222718,12.19,385.5822022,0.049649942,0.040982322,2.80482798,7.058077328,1.876170085,1.849418008
2009,10,0.1985775,0.030970624,0.000736083,18.81,407.0040565,0.297971796,0.253914929,9.083172434,24.26807378,5.275048219,12.88504209
2009,11,0.1269072,0.012649181,0.000193813,13.8,395.9947665,0.094148833,0.078639234,4.498548763,11.33712503,3.022915735,4.082635
2009,12,0.1548243,0.018826437,0.000395528,14.135,370.048176,0.138183133,0.116332922,6.51020089,15.89618874,4.799660789,7.713264284
2009,7,0.145597,0.016649252,0.000442534,14.8,369.1411427,0.130340734,0.10951523,5.652426208,14.31952623,3.760554109,5.972698434
2009,8,0.2139186,0.035940737,0.000477571,17.44,376.8209903,0.312711602,0.267063108,10.88771681,27.54058157,7.361254465,17.9550921
2009,9,0.0974336,0.007456025,0.000213181,12.44,363.5393301,0.052137784,0.043067655,2.854513382,7.234261105,1.873530341,1.897868708
2010,10,0.2005395,0.031585644,0.00061502,19.13,423.1191615,0.309093207,0.26353114,9.1774637,24.67707231,5.239089544,13.0678436
2010,11,0.1278582,0.012839469,0.000190288,14.25,419.5410445,0.098931223,0.08268102,4.489877494,11.48192006,2.899440599,4.039361213
2010,12,0.1561423,0.019148335,0.000321899,14.495,374.3591302,0.14433307,0.121577134,6.53321449,16.12690596,4.676562755,7.716345699
2010,7,0.147537,0.017095892,0.00044664,15.06,397.4713108,0.136117519,0.114445026,5.746969594,14.6453746,3.763640198,6.122865602
2010,8,0.2157586,0.036561677,0.000620941,17.6,392.7471514,0.320837573,0.274115526,11.01712562,27.94447471,7.39501446,18.28912396
2010,9,0.0988316,0.007671522,0.000215497,12.69,381.5309389,0.054700054,0.045216963,2.904234973,7.411592087,1.871093143,1.946785647
2011,10,0.2028945,0.032331841,0.000746197,19.49,423.1209464,0.322335427,0.274990447,9.297240864,25.17170586,5.210383996,13.30872685
2011,11,0.1291282,0.013095801,0.000256333,14.61,422.5511023,0.103571973,0.086611579,4.518397287,11.67646283,2.836323224,4.060872962
2011,12,0.1581703,0.019648969,0.000500633,14.685,379.4497427,0.149896607,0.126340908,6.653052635,16.48457824,4.715495781,7.940138752
2011,7,0.149818,0.017628602,0.000532709,15.305,386.055105,0.142483038,0.119885037,5.8705674,15.03235102,3.796212809,6.329972239
2011,8,0.2184136,0.037467027,0.00090535,17.74,393.681616,0.330895157,0.282861676,11.23369712,28.53152617,7.515991006,18.88367136
2011,9,0.1004326,0.007922081,0.000250559,12.91,389.102574,0.057400746,0.047486079,2.969259054,7.616839649,1.887036563,2.015174268
2012,10,0.2047645,0.032930567,0.000598727,19.87,395.0125261,0.334891715,0.285852317,9.370307453,25.5673467,5.142365313,13.43164066
2012,11,0.1305852,0.013392998,0.000297197,14.93,405.8182232,0.108289336,0.090612989,4.566371968,11.90130576,2.801426981,4.115662402
2012,12,0.1598503,0.020068587,0.000419618,14.945,337.7757407,0.155815609,0.131403659,6.729269696,16.78331707,4.68608572,8.066416116
2012,7,0.151729,0.018081193,0.000452591,15.565,378.6767983,0.148552731,0.1250718,5.964048461,15.35974851,3.797979132,6.481074122
2012,8,0.2204006,0.038151835,0.000684807,17.94,379.541756,0.340589867,0.291279646,11.3659745,28.97415766,7.530248536,19.22222588
2012,9,0.1017926,0.008138086,0.000216005,13.14,374.4230395,0.059984284,0.049656866,3.019791473,7.793000478,1.888745821,2.066756985
2013,10,0.2059985,0.033328671,0.000398104,20.18,416.7245473,0.344477411,0.294142706,9.404945739,25.82981719,5.071001982,13.47038666
2013,11,0.1315702,0.013595806,0.000202808,15.36,414.1742825,0.113327293,0.094879863,4.566540632,12.05430907,2.706201276,4.089401257
2013,12,0.1610683,0.020375582,0.000306996,15.215,359.9716895,0.161170763,0.135981112,6.766378884,17.00128228,4.618514563,8.110661787
2013,7,0.153148,0.018420972,0.000339779,15.82,392.029361,0.15384542,0.129593016,6.02180078,15.60473129,3.771472854,6.566072267
2013,8,0.2219106,0.038676394,0.00052456,18.24,396.8184229,0.351290409,0.300554122,11.41956628,29.31240486,7.425772397,19.30679848
2013,9,0.1027566,0.008292955,0.000154869,13.39,381.833582,0.062316539,0.05161493,3.045706342,7.918870126,1.8669199,2.088661886
2014,10,0.2081845,0.034039774,0.000711103,20.55,427.7901756,0.358323389,0.306139246,9.509529892,26.29748281,5.033349775,13.67480175
2014,11,0.1329272,0.013877703,0.000281897,15.73,422.2424949,0.118570401,0.099329672,4.601549592,12.26641248,2.655600386,4.121581342
2014,12,0.1623563,0.020702756,0.000327174,15.515,371.2188369,0.167126752,0.141073878,6.802990907,17.23303245,4.542306333,8.150681738
2014,7,0.1552,0.018917917,0.000496945,16.13,394.4196998,0.161045957,0.13575138,6.117209097,15.9618159,3.761067972,6.717974384
2014,8,0.2237246,0.039311296,0.000634902,18.57,397.5129593,0.36373315,0.311346816,11.49453557,29.7208843,7.328639006,19.44780557
2014,9,0.1039426,0.008485492,0.000192537,13.66,382.9593089,0.065059791,0.053920447,3.082214101,8.074863698,1.851113696,2.12264552
2015,10,0.2103725,0.034759044,0.00071927,20.86,407.0588771,0.371318787,0.317412004,9.629004471,26.76903063,5.025018191,13.92687642
2015,11,0.1346952,0.014249319,0.000371616,16.01,409.6677331,0.123852192,0.103823443,4.677761228,12.5450374,2.656468241,4.223804171
2015,12,0.1640813,0.021145018,0.000442262,15.845,354.0113742,0.174412924,0.147311639,6.868785463,17.5454329,4.48422313,8.248392634
2015,7,0.157353,0.019446432,0.000528515,16.37,370.3490128,0.167845723,0.141576822,6.234339843,16.34004494,3.788286871,6.919547043
2015,8,0.2250516,0.039779021,0.000467725,18.77,361.5423012,0.372076465,0.318591292,11.56284639,30.02117289,7.29073506,19.60101723
2015,9,0.1053246,0.008712635,0.000227143,13.88,360.142725,0.067829849,0.056252811,3.135882252,8.258214554,1.857550575,2.179276672
2016,10,0.2128905,0.035596102,0.000837059,21.01,417.9598285,0.382404001,0.327058671,9.815799745,27.31596153,5.110224088,14.3757682
2016,11,0.1366292,0.01466145,0.000412131,16.23,421.8286495,0.129029368,0.108235937,4.774431311,12.85276741,2.684665682,4.362910175
2016,12,0.1660153,0.021646421,0.000501404,16.08,362.0613778,0.181097229,0.15304635,6.972851661,17.89842663,4.493389656,8.438213286
2016,7,0.159278,0.019925144,0.000478712,16.6,390.8371719,0.174265171,0.147078669,6.33663343,16.68130222,3.805858387,7.095260256
2016,8,0.2262356,0.040198678,0.000419657,18.98,399.1280031,0.380333419,0.325759251,11.61425002,30.29015018,7.235022908,19.70256071
2016,9,0.1068126,0.008960554,0.000247919,14.09,369.9431311,0.070745412,0.058710296,3.197072792,8.457519485,1.871322064,2.245936418
2017,10,0.2147385,0.03621677,0.000620667,21.19,407.2504468,0.392130263,0.335514363,9.936993681,27.72025641,5.140542414,14.65680379
2017,11,0.1382512,0.015011625,0.000350174,16.48,422.2640498,0.134079648,0.112538756,4.846160704,13.11321616,2.687856988,4.461772236
2017,12,0.1676553,0.022076207,0.000429785,16.38,362.2294577,0.188198191,0.159133709,7.039446634,18.20002418,4.449106546,8.542579221
2017,7,0.161562,0.020500683,0.000575539,16.805,384.1614923,0.181262829,0.153085287,6.471863245,17.08996115,3.856097176,7.339647521
2017,8,0.2275026,0.040650193,0.000451515,19.18,384.5242604,0.388727026,0.333051018,11.67725347,30.57907634,7.194691872,19.84106311
2017,9,0.1080816,0.009174733,0.000214179,14.29,366.0495064,0.07341698,0.060962733,3.247120719,8.629034372,1.877821794,2.299930407
2018,10,0.2164125,0.036783628,0.000566859,21.36,469.4301586,0.401226972,0.343424769,10.04549442,28.08859308,5.164744047,14.9085941
2018,11,0.1397642,0.015341993,0.000330368,16.68,475.3054342,0.138594274,0.116389324,4.918340992,13.35809848,2.701194722,4.565214613
2018,12,0.1687523,0.02236605,0.000289843,16.58,391.9840371,0.193034552,0.16328173,7.084439078,18.40292037,4.421037677,8.613752209
2018,7,0.163685,0.021043,0.000542317,17.03,431.8655943,0.188359488,0.159177587,6.591552585,17.4734579,3.887651189,7.553981403
2018,8,0.2286686,0.041067943,0.00041775,19.41,431.4494194,0.397612932,0.340767278,11.72140322,30.84596759,7.126521739,19.9173389
2018,9,0.1090046,0.009332103,0.000157371,14.48,418.7526775,0.075663203,0.062855856,3.278550102,8.75467408,1.871636883,2.331690939
